0,1,2,3,4,5,6,7
"realme C30 (Denim Black, 32 GB)",realme,2 GB RAM,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,8499,PhoneDB
"realme C30 (Bamboo Green, 32 GB)",realme,2 GB RAM,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,8499,PhoneDB
"realme C30 (Lake Blue, 32 GB)",realme,2 GB RAM,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,8499,PhoneDB
"Infinix Smart 6 HD (Aqua Sky, 32 GB)",Infinix,2 GB RAM,32 GB ROM,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,8999,PhoneDB
"Infinix Smart 6 HD (Force Black, 32 GB)",Infinix,2 GB RAM,32 GB ROM,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,8999,PhoneDB
"REDMI 10A (Sea Blue, 64 GB)",REDMI,4 GB RAM,64 GB ROM,16.59 cm (6.53 inch) Display,5000 mAh Battery,9200,PhoneDB
"realme C30 (Bamboo Green, 32 GB)",realme,3 GB RAM,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,9299,PhoneDB
"realme C30 (Lake Blue, 32 GB)",realme,3 GB RAM,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,9299,PhoneDB
"realme C30 (Denim Black, 32 GB)",realme,3 GB RAM,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,9299,PhoneDB
"REDMI 9i Sport (Metallic Blue, 64 GB)",REDMI,4 GB RAM,64 GB ROM,16.59 cm (6.53 inch) HD+ Display,5000 mAh Li-Polymer Battery,9999,PhoneDB
"REDMI 9i Sport (Coral Green, 64 GB)",REDMI,4 GB RAM,64 GB ROM,16.59 cm (6.53 inch) HD+ Display,5000 mAh Li-Polymer Battery,9999,PhoneDB
"REDMI 9i Sport (Carbon Black, 64 GB)",REDMI,4 GB RAM,64 GB ROM,16.59 cm (6.53 inch) HD+ Display,5000 mAh Li-Polymer Battery,9999,PhoneDB
